10000000|G1001|DELUXE|202|2026-08-10|2026-08-11|CHECKED_OUT|0|1786869275537|UNPAID
10000003|G1002|DELUXE|203|2026-08-15|2026-08-16|CHECKED_OUT|0|1786869381594|PAID
10000004|G1003|DELUXE|204|2026-08-18|2026-08-19|CHECKED_OUT|0|1786870120256|UNPAID
10000005|G1004|SUITE|301|2026-08-20|2026-08-22|CHECKED_OUT|0|1786870767988|UNPAID
10000006|G1005|SUITE|301|2026-08-12|2026-08-16|CHECKED_OUT|0|1786871109889|UNPAID
10000009|G1006|SUITE|301|2026-08-24|2026-08-30|CHECKED_OUT|45000|1786871807029|PAID
10000010|G1007|SUITE|302|2026-08-24|2026-08-30|CHECKED_OUT|0|1786874528402|UNPAID
10000015|G1007|DELUXE|202|2026-08-23|2026-08-30|CHECKED_OUT|0|1786874633346|UNPAID
10000016|G1001|SUITE|302|2026-08-20|2026-08-22|CHECKED_OUT|0|1786877203427|UNPAID
10000017|G1007|SUITE|302|2026-08-12|2026-08-17|CANCELLED|0|1786878351350|UNPAID
10000018|G1007|DELUXE|202|2026-09-01|2026-09-03|CONFIRMED|25000|1787108905113|UNPAID
10000019|G1007|DELUXE|201|2026-09-03|2026-09-04|CONFIRMED|50000|1787109196152|UNPAID
10000020|G1001|STANDARD|101|2026-09-10|2026-09-12|CONFIRMED|0|1787110000001|UNPAID
10000021|G1006|SUITE|NONE|2026-09-15|2026-09-18|PENDING|0|1787110000002|UNPAID
10000023|G1004|DELUXE|201|2026-09-22|2026-09-24|CONFIRMED|34989|1787110000004|UNPAID
10000024|G1003|STANDARD|102|2026-09-25|2026-09-28|CONFIRMED|24988|1787110000005|UNPAID
10000025|G1001|STANDARD||2026-08-30|2026-09-02|PENDING|0|1787942360809|UNPAID
10000026|G1004|SUITE||2026-08-29|2026-08-30|CANCELLED|35000|1788001901754|UNPAID
10000027|G1004|SUITE|301|2026-08-29|2026-08-31|CHECKED_OUT|34999|1788001937998|UNPAID
